n,ms,bfs,dfs,bfs2,dfs2
3,100,0.5,0.9,0.5,0.7
3,100,0.7,0.5,0.7,0.5
3,100,0.7,0.5,0.7,0.5
3,100,0.7,1.1,0.7,0.9
3,100,0.7,0.7,0.7,0.7
3,100,0.7,0.5,0.7,0.5
3,100,0.9,0.9,0.9,0.9
3,100,0.5,0.7,0.5,0.7
3,100,0.5,0.7,0.5,0.7
3,100,0.5,0.5,0.5,0.5
3,100,0.5,0.5,0.5,0.5
3,100,0.9,0.7,0.9,0.7
3,100,0.7,0.5,0.7,0.5
3,100,0.7,0.5,0.7,0.5
3,100,0.7,0.5,0.7,0.5
3,100,0.9,0.9,0.9,0.9
3,100,0.5,0.5,0.5,0.5
3,100,0.9,0.9,0.9,0.9
3,100,0.7,0.7,0.7,0.7
3,100,0.5,0.5,0.5,0.5
3,100,0.9,0.7,0.9,0.7
3,100,0.5,0.7,0.5,0.7
3,100,0.5,0.5,0.5,0.5
3,100,0.5,0.5,0.5,0.5
3,100,0.5,0.5,0.5,0.5
3,100,0.9,0.9,0.9,0.9
3,100,0.5,0.9,0.5,0.7
3,100,0.5,0.5,0.5,0.5
3,100,0.5,0.5,0.5,0.5
3,100,0.5,0.5,0.5,0.5
3,100,0.7,0.5,0.7,0.5
3,100,0.7,0.5,0.7,0.5
3,100,0.7,0.5,0.7,0.5
3,100,0.7,1.1,0.7,0.9
3,100,0.5,0.5,0.5,0.5
3,100,0.9,0.9,0.9,0.9
3,100,0.7,0.5,0.7,0.5
3,100,0.5,0.7,0.5,0.7
3,100,0.5,0.5,0.5,0.5
3,100,0.7,0.5,0.7,0.5
3,100,0.5,0.5,0.5,0.5
3,100,0.5,0.5,0.5,0.5
3,100,0.5,0.5,0.5,0.5
3,100,0.5,0.5,0.5,0.5
3,100,0.5,0.5,0.5,0.5
3,100,0.5,0.9,0.5,0.7
3,100,0.5,0.9,0.5,0.7
3,100,0.7,0.7,0.7,0.7
3,100,0.9,0.9,0.9,0.9
3,100,0.9,0.7,0.9,0.7
3,100,0.5,0.5,0.5,0.5
3,100,0.9,0.7,0.9,0.7
3,100,0.7,0.5,0.7,0.5
3,100,0.5,0.5,0.5,0.5
3,100,0.5,0.9,0.5,0.7
3,100,0.5,0.5,0.5,0.5
3,100,0.7,0.7,0.7,0.7
3,100,0.7,1.1,0.7,0.9
3,100,0.7,0.7,0.7,0.7
3,100,0.7,0.5,0.7,0.5
3,100,0.7,0.7,0.7,0.7
3,100,0.9,0.7,0.9,0.7
3,100,0.5,0.5,0.5,0.5
3,100,0.9,0.9,0.9,0.9
3,100,0.5,0.9,0.5,0.7
3,100,0.7,0.5,0.7,0.5
3,100,0.9,0.9,0.9,0.9
3,100,0.7,1.1,0.7,0.9
3,100,0.7,0.7,0.7,0.7
3,100,0.5,0.5,0.5,0.5
3,100,0.5,0.5,0.5,0.5
3,100,0.5,0.5,0.5,0.5
3,100,0.5,0.5,0.5,0.5
3,100,0.7,1.1,0.7,0.9
3,100,0.5,0.9,0.5,0.7
3,100,0.9,0.9,0.9,0.9
3,100,0.7,0.7,0.7,0.7
3,100,0.5,0.7,0.5,0.7
3,100,0.7,1.1,0.7,0.9
3,100,0.7,1.1,0.7,0.9
3,100,0.7,0.5,0.7,0.5
3,100,0.7,1.1,0.7,0.9
3,100,0.7,0.5,0.7,0.5
3,100,0.5,0.7,0.5,0.7
3,100,0.7,0.5,0.7,0.5
3,100,0.7,0.5,0.7,0.5
3,100,0.7,0.7,0.7,0.7
3,100,0.7,0.5,0.7,0.5
3,100,0.5,0.5,0.5,0.5
3,100,0.5,0.9,0.5,0.7
3,100,0.5,0.9,0.5,0.7
3,100,0.5,0.9,0.5,0.7
3,100,0.7,0.5,0.7,0.5
3,100,0.5,0.5,0.5,0.5
3,100,0.7,0.7,0.7,0.7
3,100,0.7,1.1,0.7,0.9
3,100,0.7,1.1,0.7,0.9
3,100,0.7,0.7,0.7,0.7
3,100,0.5,0.7,0.5,0.7
3,100,0.5,0.5,0.5,0.5
3,100,0.7,0.7,0.7,0.7
3,100,0.5,0.5,0.5,0.5
3,100,0.9,0.7,0.9,0.7
3,100,0.5,0.9,0.5,0.7
3,100,0.7,0.5,0.7,0.5
3,100,0.7,0.7,0.7,0.7
3,100,0.9,0.9,0.9,0.9
3,100,0.9,0.9,0.9,0.9
3,100,0.5,0.5,0.5,0.5
3,100,0.7,0.7,0.7,0.7
3,100,0.7,0.7,0.7,0.7
3,100,0.5,0.5,0.5,0.5
3,100,0.7,0.7,0.7,0.7
3,100,0.7,0.5,0.7,0.5
3,100,0.9,0.9,0.9,0.9
3,100,0.5,0.5,0.5,0.5
3,100,0.5,0.9,0.5,0.7
